input,time
12,0.08201956748962402
11,0.03999948501586914
4,0.015000343322753906
1,0.01494145393371582
3,0.020998716354370117
10,0.027001619338989258
10,0.026990652084350586
4,0.011998414993286133
1,0.01300048828125
1,0.017000913619995117
7,0.014988183975219727
16,2.306762218475342
13,0.15464425086975098
3,0.009995460510253906
10,0.02500462532043457
14,0.3730013370513916
13,0.15501976013183594
15,0.9008958339691162
16,2.269847869873047
17,5.916604518890381
1,0.011018991470336914
16,2.338914394378662
2,0.009533405303955078
2,0.01100015640258789
14,0.37003016471862793
7,0.009998798370361328
14,0.3729996681213379
15,0.8980247974395752
10,0.01900029182434082
15,0.8971621990203857
11,0.06599974632263184
14,0.4250025749206543
7,0.014000892639160156
9,0.020999908447265625
2,0.022999286651611328
2,0.0179898738861084
10,0.040007591247558594
12,0.08399391174316406
10,0.02100396156311035
12,0.09000062942504883
13,0.17300081253051758
10,0.022037744522094727
16,2.3137195110321045
8,0.013003110885620117
11,0.04099726676940918
8,0.0160062313079834
15,0.8995397090911865
8,0.015002012252807617
3,0.014000654220581055
6,0.015882492065429688
12,0.08493804931640625
13,0.17250657081604004
16,2.2774808406829834
1,0.01099085807800293
4,0.012999773025512695
11,0.04199504852294922
6,0.014000415802001953
16,2.3845629692077637
13,0.15705466270446777
14,0.35985660552978516
3,0.010004281997680664
12,0.07200431823730469
10,0.058000802993774414
17,6.037174940109253
5,0.01098942756652832
1,0.009999275207519531
6,0.018007755279541016
17,5.902082681655884
7,0.01200246810913086
11,0.04501199722290039
11,0.04399895668029785
3,0.015004158020019531
13,0.15999412536621094
8,0.01100015640258789
9,0.016012191772460938
11,0.045000314712524414
14,0.3710010051727295
15,0.8983473777770996
6,0.010004758834838867
1,0.011999845504760742
7,0.016997575759887695
8,0.016002416610717773
5,0.019852161407470703
12,0.08223271369934082
4,0.011998891830444336
3,0.012001991271972656
6,0.012999296188354492
11,0.04399895668029785
8,0.018000364303588867
12,0.07999610900878906
13,0.16058659553527832
12,0.07127714157104492
15,0.8989455699920654
5,0.013010978698730469
5,0.013994216918945312
11,0.043999671936035156
15,0.9155569076538086
12,0.07200026512145996
